ANONYMOUS_ID,USER_ID,EMAIL,ADDRESS_COUNTRY,TIMESTAMP,CONTEXT_CAMPAIGN_SOURCE,CONTEXT_DEVICE_TYPE,CONTEXT_DEVICE_NAME,CONTEXT_DEVICE_MANUFACTURER,STATE,CURRENCY,FIRST_NAME,LAST_NAME
'20e54d59ab471ea53c8ab2d1acca93eb','7dbfb93c8a783b7c360862c283862b08','','','2022-08-25 17:05:47','','','','','','','',''
'6230bb76532f5ae2e7b3a944897ba115','9edf4776d1314367167793d882061e3d','','','2022-09-06 03:45:03','','','','','','','',''
'73e2fb88018d5505814050b3aa14d5d4','32c1685a4485e8327be04c2d8b149509','','','2022-10-27 23:20:53','','','','','','','',''
'6230bb76532f5ae2e7b3a944897ba115','9edf4776d1314367167793d882061e3d','','','2022-10-28 03:52:37','','','','','','','',''
'f90f2af462d846ca22d304493afe0fcb','7a013b64f52f6cf5b670919de767e8f8','','','2022-11-18 16:10:14','','','','','','','',''
'68be8f849becfeb08f7c26f6430c2977','054afdeaaf3cf4aa6bcee1d42de79f1f','','','2022-11-18 22:32:18','','iOS','iPhone','Apple','','','',''
'68be8f849becfeb08f7c26f6430c2977','054afdeaaf3cf4aa6bcee1d42de79f1f','eshynn5@pen.io','United Kingdom','2022-11-10 20:33:57','','iOS','iPhone','Apple','','','Emily','Shynn'
'68be8f849becfeb08f7c26f6430c2977','054afdeaaf3cf4aa6bcee1d42de79f1f','eshynn5@pen.io','United Kingdom','2022-11-10 20:33:57','','iOS','iPhone','Apple','','','Emily','Shynn'
'68be8f849becfeb08f7c26f6430c2977','054afdeaaf3cf4aa6bcee1d42de79f1f','eshynn5@pen.io','United Kingdom','2022-11-10 20:36:18','','iOS','iPhone','Apple','','','Emily','Shynn'
'20e54d59ab471ea53c8ab2d1acca93eb','7dbfb93c8a783b7c360862c283862b08','','','2022-12-28 11:28:03','','','','','','','',''
'd5b85a8418f9df7bac08861ce63ee25b','8960fc1d492df4ace211909ce269a277','lroseaman6@sitemeter.com','United Kingdom','2022-11-10 04:02:55','','iOS','iPad','Apple','','','Liam','Roseaman'
'd5b85a8418f9df7bac08861ce63ee25b','8960fc1d492df4ace211909ce269a277','lroseaman6@sitemeter.com','United Kingdom','2022-11-10 04:02:55','','iOS','iPad','Apple','','','Liam','Roseaman'
'd5b85a8418f9df7bac08861ce63ee25b','8960fc1d492df4ace211909ce269a277','lroseaman6@sitemeter.com','United Kingdom','2022-11-10 04:02:55','','iOS','iPad','Apple','','','Liam','Roseaman'
'd5b85a8418f9df7bac08861ce63ee25b','8960fc1d492df4ace211909ce269a277','lroseaman6@sitemeter.com','United Kingdom','2022-11-10 04:02:55','','iOS','iPad','Apple','','','Liam','Roseaman'
'd5b85a8418f9df7bac08861ce63ee25b','8960fc1d492df4ace211909ce269a277','lroseaman6@sitemeter.com','United Kingdom','2022-11-10 00:38:46','','iOS','iPad','Apple','','','Liam','Roseaman'
'd5b85a8418f9df7bac08861ce63ee25b','8960fc1d492df4ace211909ce269a277','lroseaman6@sitemeter.com','United Kingdom','2022-11-10 00:38:45','','iOS','iPad','Apple','','','Liam','Roseaman'
'd5b85a8418f9df7bac08861ce63ee25b','8960fc1d492df4ace211909ce269a277','lroseaman6@sitemeter.com','United Kingdom','2022-11-10 00:38:45','','iOS','iPad','Apple','','','Liam','Roseaman'
'd5b85a8418f9df7bac08861ce63ee25b','8960fc1d492df4ace211909ce269a277','lroseaman6@sitemeter.com','United Kingdom','2022-11-10 00:38:45','','iOS','iPad','Apple','','','Liam','Roseaman'
'f1b97ddb31c5a73da433a728d39bc145','9edf4776d1314367167793d882061e3d','','','2022-12-01 03:15:28','','','','','','','',''
'875aefad9eeaded2f693edd327514c5d','ab4e1cd56329498ecc2fd642a4dda818','philip_moser@gmail.com','Mexico','2022-11-17 01:42:24','','Android','','Google','','','Philip','Moser'
'5068a5d2fa273d4553ec135539c1e5a4','01f52ce16390a162a9b06eec9a9a307f','jason_bradley10@mail.com','Greece','2022-11-17 02:06:24','','iOS','Mac','Apple','','','Jason','Bradley'
'20e54d59ab471ea53c8ab2d1acca93eb','7dbfb93c8a783b7c360862c283862b08','','','2023-01-13 08:38:29','','','','','','','',''
'f8b94976e70a32956aa576dede88e59e','01f52ce16390a162a9b06eec9a9a6054','henry-joni19@aol.com','United States','2022-11-19 02:06:24','','iOS','iPhone','Apple','','','Henry','Joni'
